Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.622500,-64.973200,0.000000,top
"C2","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",115.760500,-65.913000,180.000000,top
"C3","12pf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",114.300000,-67.437000,0.000000,top
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",125.861000,-86.423500,180.000000,top
"C5","12pf","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",114.300000,-72.517000,180.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",116.840000,-86.423500,180.000000,top
"C7","10u 50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.030000,-84.899500,90.000000,top
"C8","100n 50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",111.379000,-84.137500,90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",104.241600,-74.104500,180.000000,top
"C10","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.203500,-75.374500,180.000000,top
"C11","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.203500,-76.898500,180.000000,top
"C12","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.610400,-74.117200,180.000000,top
"D1","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",126.403100,-63.867300,270.000000,top
"D2","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",128.498600,-63.867300,270.000000,top
"D3","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",108.610400,-77.012800,0.000000,top
"D4","MB1S","DIODE_BRIDGE",108.267500,-93.472000,270.000000,top
"D5","MB1S","DIODE_BRIDGE",102.870000,-93.408500,270.000000,top
"D6","1N5819WS","D_SOD-323_HandSoldering",101.346000,-75.565000,90.000000,top
"J5","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",105.765600,-61.976000,270.000000,top
"L2","10uh","coil_10uh",119.380000,-64.363600,0.000000,top
"L3","15nh","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.618500,-63.703200,0.000000,top
"R1","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",104.076500,-98.425000,0.000000,top
"R2","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",101.727000,-98.425000,0.000000,top
"R3","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",107.251500,-98.488500,0.000000,top
"R4","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",109.601000,-98.488500,0.000000,top
"R5","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.622500,-75.869800,180.000000,top
"R6","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.450600,-63.868300,270.000000,top
"R7","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",127.546100,-63.868300,270.000000,top
"R8","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.300000,-74.041000,0.000000,top
"R9","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.300000,-75.057000,0.000000,top
"R10","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",106.184100,-67.157600,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",131.000500,-61.277500,90.000000,top
"U1","TMCS1108A4BQDT","SOIC-8_3.9x4.9mm_P1.27mm",119.507000,-83.185000,180.000000,top
"U2","TMCS1108A4BQDT","SOIC-8_3.9x4.9mm_P1.27mm",128.524000,-83.185000,180.000000,top
"U3","MDBT42Q-512KV2","RAYTAC_MDBT42Q",123.621800,-72.377300,270.000000,top
"U4","K7803MT-500R4","Converter_DCDC",105.473500,-82.613500,180.000000,top
"U5","M24C02-FMN","SOIC-8_3.9x4.9mm_P1.27mm",107.315000,-70.612000,180.000000,top
"Y1","32.768Khz","Crystal_SMD_3215-2Pin_3.2x1.5mm",114.300000,-69.977000,90.000000,top
