Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.381,-63.754,0,top
C2,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.9863,-65.4812,180,top
C3,12pf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.0432,-68.076,270,top
C4,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.6002,-83.4811,270,top
C5,12pf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.0432,-70.3667,90,top
C6,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.7196,-83.5406,270,top
C7,10u 50v,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.554,-83.4898,90,top
C8,0.1u 50V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.776,-83.312,90,top
C9,0.1u 50V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,106.045,-72.771,180,top
C10,10u 25V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.045,-74.041,180,top
C11,10u 25V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.0439,-75.565,180,top
D1,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,129,-61.341,0,top
D2,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,132,-61.3283,0,top
D3,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.1565,-75.184,90,top
D4,MB1S,DIODE_BRIDGE,122.5296,-90.1446,270,top
D5,MB1S,DIODE_BRIDGE,114.7826,-90.1446,270,top
D6,1N5819WS,D_SOD-323_HandSoldering,102.616,-74.696,90,top
L2,10uh,coil_10uh,124.206,-62.865,0,top
L3,15nh,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.381,-62.738,0,top
Q1,AO3401A,SOT-23,115.57,-79.502,270,top
R1,10R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,116.459,-95.123,180,top
R2,10R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,113.157,-95.123,180,top
R3,10R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120.65,-95.123,180,top
R4,10R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,123.444,-95.123,180,top
R5,5K1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,109.1565,-72.8085,90,top
R6,5K1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.048,-63.627,270,top
R7,5K1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.8768,-63.627,270,top
R8,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,118.618,-72.644,0,top
R9,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,118.618,-73.914,0,top
U1,TMCS1108A4BQDT,SOIC-8-N7_3.9x4.9mm_P1.27mm,123.4694,-82.3214,180,top
U2,TMCS1108A4BQDT,SOIC-8-N7_3.9x4.9mm_P1.27mm,133.3754,-82.3214,180,top
U3,MDBT42Q-512KV2,RAYTAC_MDBT42Q,128.7018,-71.5518,270,top
U4,K7803MT-500R4,Converter_DCDC,106.4768,-81.9404,180,top
Y1,32.768Khz,Crystal_SMD_3215-2Pin_3.2x1.5mm,118.7704,-69.2077,90,top
